ID_Empleado,Genero,Edad,Antiguedad_Anios,Departamento,Ciudad,Ingreso_Mensual_COP,Costo_Tratamiento_Salud_COP,Decil_Ingreso
EMP-0001,Masculino,45,12,Dirección,Medellín,12500000,450000,10
EMP-0002,Femenino,34,8,Tecnología,Bogotá,5800000,0,8
EMP-0003,Masculino,28,4,Operaciones,Cali,2300000,1200000,3
EMP-0004,Femenino,52,15,Administración,Barranquilla,4100000,3500000,6
EMP-0005,Masculino,23,1,Ventas,Medellín,1900000,0,1
EMP-0006,Femenino,41,10,Dirección,Bogotá,11200000,850000,10
EMP-0007,Masculino,31,5,Tecnología,Medellín,6200000,0,9
EMP-0008,Femenino,29,3,Operaciones,Bucaramanga,2100000,4500000,2
EMP-0009,Masculino,38,7,Administración,Cali,3800000,0,5
EMP-0010,Femenino,47,11,Ventas,Barranquilla,2900000,150000,4
EMP-0011,Masculino,26,2,Operaciones,Medellín,2200000,0,2
EMP-0012,Femenino,35,6,Tecnología,Bogotá,5400000,2100000,7
EMP-0013,Masculino,58,20,Dirección,Cali,14000000,0,10
EMP-0014,Femenino,43,12,Operaciones,Barranquilla,2400000,1300000,3
EMP-0015,Masculino,33,4,Administración,Bucaramanga,3900000,0,5
EMP-0016,Femenino,25,1,Ventas,Medellín,1850000,90000,1
EMP-0017,Masculino,50,14,Tecnología,Bogotá,6800000,0,9
EMP-0018,Femenino,37,8,Operaciones,Cali,2250000,540000,2
EMP-0019,Masculino,42,9,Administración,Barranquilla,4000000,0,6
EMP-0020,Femenino,30,4,Ventas,Medellín,2700000,3200000,4
EMP-0021,Masculino,46,13,Operaciones,Bogotá,2500000,0,3
EMP-0022,Femenino,55,18,Dirección,Medellín,13200000,0,10
EMP-0023,Masculino,27,2,Tecnología,Cali,4900000,750000,7
EMP-0024,Femenino,32,5,Operaciones,Barranquilla,2150000,0,2
EMP-0025,Masculino,39,8,Administración,Bucaramanga,4200000,1800000,6
